Hex,Character,Category
0x00,a,Lowercase
0x01,b,Lowercase
0x02,c,Lowercase
0x03,d,Lowercase
0x04,e,Lowercase
0x05,f,Lowercase
0x06,g,Lowercase
0x07,h,Lowercase
0x08,i,Lowercase
0x09,j,Lowercase
0x0A,k,Lowercase
0x0B,l,Lowercase
0x0C,m,Lowercase
0x0D,n,Lowercase
0x0E,o,Lowercase
0x0F,p,Lowercase
0x10,q,Lowercase
0x11,r,Lowercase
0x12,s,Lowercase
0x13,t,Lowercase
0x14,u,Lowercase
0x15,v,Lowercase
0x16,w,Lowercase
0x17,x,Lowercase
0x18,y,Lowercase
0x19,z,Lowercase
0x64,A,Uppercase
0x65,B,Uppercase
0x66,C,Uppercase
0x67,D,Uppercase
0x68,E,Uppercase
0x69,F,Uppercase
0x6A,G,Uppercase
0x6B,H,Uppercase
0x6C,I,Uppercase
0x6D,J,Uppercase
0x6E,K,Uppercase
0x6F,L,Uppercase
0x70,M,Uppercase
0x71,N,Uppercase
0x72,O,Uppercase
0x73,P,Uppercase
0x74,Q,Uppercase
0x75,R,Uppercase
0x76,S,Uppercase
0x77,T,Uppercase
0x78,U,Uppercase
0x79,V,Uppercase
0x7A,W,Uppercase
0x7B,X,Uppercase
0x7C,Y,Uppercase
0x7D,Z,Uppercase
0x97, ,Space
0x8B,-,Hyphen
0x87,?,Question
0x8F,.,Period
0x86,',Apostrophe
0xFE,\n,Newline
0xFF,END,Terminator
0x88,!,Exclamation
0x89,.,Period2
0x90,-,Dash
